GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "54000","West Virginia",5,CAINC4,45,"...","Equals: Net earnings by place of residence","Thousands of dollars",3776659,4143047,4468837,4917361,5255373,5746587,6405204,7182805,8112716,9028528,9931218,10524968,11050600,11356548,11252223,12184739,12633185,12751307,13142324,14096186,14742521,15737469,16193978,17275954,17840075,18828504,19306029,19869739,20820360,21652581,22581652,23890512,25317367,26176351,26729375,28264516,30041535,31977067,32526819,34050601,33708584,34897645,37379121,38253459,37852395,38481267,38448531,37615721,39306774,41593423
 "54000","West Virginia",5,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",568605,647033,712179,785855,891538,1038407,1180367,1300355,1469332,1641251,1853428,2271485,2797485,3200856,3406586,3781390,3983922,4103745,4114360,4362255,4815258,5042168,5034960,5158784,5238397,5468215,5829307,6157572,6441506,6809983,6717124,7175155,7205369,6975902,6779390,6853101,7024675,7615997,8271232,8684468,8275204,8188976,8998009,9653698,9294516,9814053,10185824,10203993,10592594,11397828
 "54000","West Virginia",5,CAINC4,47,"...","Plus: Personal current transfer receipts","Thousands of dollars",598877,721757,870540,997482,1186307,1343742,1600555,1757968,1875239,2082893,2437915,2836210,3203081,3511957,3891418,3974554,4148507,4406392,4528329,4779118,5043207,5406589,6079307,6969648,7420360,7523803,7759368,8181530,8368313,8672792,8852913,9287379,10261082,11086843,11361032,11359387,11794805,12600606,13330717,14788644,15965132,16841063,16972077,17299032,17638064,18568221,19362928,19798142,20319000,20817629
 "54000","West Virginia",5,CAINC4,50,"...","Wages and salaries","Thousands of dollars",3329188,3648091,3953930,4335330,4669582,5112908,5704433,6462016,7202367,8009180,8880564,9517758,10045514,10319518,10016720,10681229,11037425,11234837,11520344,12029611,12417659,13256084,13656324,14352422,14794845,15616248,16158516,16699090,17262432,17901595,18473498,19249275,19983879,20410261,20809727,21889543,22827556,24138271,25175445,26728096,26703857,27251083,28586785,29436518,29480048,30106489,30249707,29692962,30875535,33256837
 "54000","West Virginia",5,CAINC4,60,"...","Supplements to wages and salaries","Thousands of dollars",445750,493878,552447,637496,710972,802739,883785,1006807,1170014,1326452,1508664,1661028,1820909,1925949,2028009,2212974,2364884,2549304,2692849,2718836,2914540,3154766,3376596,3771539,4043029,4212840,4237132,4378546,4500480,4681877,4877739,5280789,5401348,5544964,5887856,6151584,6449534,7017326,6889490,7060234,7011952,7034274,7412642,7891259,7999096,7712926,7858184,7614806,8083306,8549710
 "54000","West Virginia",5,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",265157,299231,331219,381587,387713,433112,481336,535256,635216,700960,799710,896193,962782,1018026,1112989,1184086,1306077,1440394,1549058,1469967,1620931,1744859,1870834,2146239,2255264,2368914,2314402,2382724,2458970,2506028,2656449,2797921,3040830,3261362,3493897,3730067,3953580,4606773,4718466,4980912,4888083,4864447,5147732,5554699,5670794,5326556,5445250,5189881,5595934,5961651
 "54000","West Virginia",5,CAINC4,62,"..."," Employer contributions for government social insurance","Thousands of dollars",180593,194647,221228,255909,323259,369627,402449,471551,534798,625492,708954,764835,858127,907923,915020,1028888,1058807,1108910,1143791,1248869,1293609,1409907,1505762,1625300,1787765,1843926,1922730,1995822,2041510,2175849,2221290,2482868,2360518,2283602,2393959,2421517,2495954,2410553,2171024,2079322,2123869,2169827,2264910,2336560,2328302,2386370,2412934,2424925,2487372,2588059
 "54000","West Virginia",5,CAINC4,70,"...","Proprietors' income 9/","Thousands of dollars",398407,425848,447731,501659,547594,598028,652173,685338,842975,965763,981153,906706,894496,852452,923292,1139957,1166191,974136,946889,1529936,1624915,1736907,1749296,1857632,1929614,2024118,2038233,2012090,2213037,2350998,2555808,2876237,3274418,3465369,3323819,3514530,4046075,4112036,3484446,3367356,3262891,3855222,4293405,4209986,4165981,4394988,4057751,3889554,4237672,4384640
 "54000","West Virginia",5,CAINC4,71,"..."," Farm proprietors' income","Thousands of dollars",18998,13411,12735,19888,29470,14898,4224,-10464,-14341,-6731,-3761,-12963,-43740,-52124,-39050,-440,-1890,25816,-15008,-18667,7756,15938,8027,33363,35647,33666,-4459,-17636,-27429,-29579,-46690,-13885,-7948,-74091,-56905,-10516,-21579,-58887,-95663,-65198,-69109,-61083,-20893,-47529,-13782,-29417,-49416,-77960,-40913,-101936
 "54000","West Virginia",5,CAINC4,72,"..."," Nonfarm proprietors' income","Thousands of dollars",379409,412437,434996,481771,518124,583130,647949,695802,857316,972494,984914,919669,938236,904576,962342,1140397,1168081,948320,961897,1548603,1617159,1720969,1741269,1824269,1893967,1990452,2042692,2029726,2240466,2380577,2602498,2890122,3282366,3539460,3380724,3525046,4067654,4170923,3580109,3432554,3332000,3916305,4314298,4257515,4179763,4424405,4107167,3967514,4278585,4486576
 "54000","West Virginia",5,CAINC4,7010,"...","Total employment","Number of jobs",651782,659514,669717,683606,699804,711453,717096,739036,757752,780911,790391,782029,761627,740403,721543,732296,731881,731131,738242,750513,757104,777862,778768,789331,801180,822272,838499,846838,858297,868370,868236,875561,872546,871233,868331,879293,890779,902935,915669,918366,899038,899472,909035,918927,913619,911516,903866,889595,890055,903962
 "54000","West Virginia",5,CAINC4,7020,"..."," Wage and salary employment","Number of jobs",559232,567265,577037,589827,604328,612571,616529,639984,657812,679852,687986,674453,653154,631613,607112,617198,615160,612989,615225,624878,631030,646214,646496,658436,669981,688189,698545,705856,712910,722362,724303,729135,726708,726016,720526,729009,735252,744761,749131,752605,733675,733916,741944,751073,743403,740398,734201,721292,719974,730802
 "54000","West Virginia",5,CAINC4,7040,"..."," Proprietors employment","Number of jobs",92550,92249,92680,93779,95476,98882,100567,99052,99940,101059,102405,107576,108473,108790,114431,115098,116721,118142,123017,125635,126074,131648,132272,130895,131199,134083,139954,140982,145387,146008,143933,146426,145838,145217,147805,150284,155527,158174,166538,165761,165363,165556,167091,167854,170216,171118,169665,168303,170081,173160
 "54001","Barbour, WV",5,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",31306,34785,40806,48231,53730,58275,69152,74477,84303,90734,103443,114384,125181,135825,135077,145391,147288,149694,147360,154516,162597,169536,177686,191673,202300,211650,215457,225454,236885,244879,251546,266657,277815,294782,304657,318586,334922,365024,386250,413559,423275,438235,458715,484707,477979,488399,489405,488031,501270,533919
 "54001","Barbour, WV",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",30971,34551,40433,47741,53015,57940,69203,74676,84558,90742,102855,113481,125684,136694,135139,144408,146296,148130,146994,154442,161899,168897,177279,191297,201628,211497,216004,226882,237692,245680,252474,266003,277803,295455,305932,319160,336009,366635,388667,414930,424939,439927,459397,485509,478563,488882,489301,488924,502790,535407
 "54001","Barbour, WV",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",335,234,373,490,715,335,-51,-199,-255,-8,588,903,-503,-869,-62,983,992,1564,366,74,698,639,407,376,672,153,-547,-1428,-807,-801,-928,654,12,-673,-1275,-574,-1087,-1611,-2417,-1371,-1664,-1692,-682,-802,-584,-483,104,-893,-1520,-1488
 "54001","Barbour, WV",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",13809,14166,14721,14975,15080,15083,15352,15864,15975,15965,16158,16661,16736,16734,16738,16852,16754,16479,16255,15964,15730,15675,15572,15760,15806,15925,15948,15981,15698,15735,15616,15560,15436,15569,15639,15629,15722,15922,16036,16241,16479,16612,16600,16870,16872,16903,16971,16742,16499,16535
 "54001","Barbour, WV",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",2267,2456,2772,3221,3563,3864,4504,4695,5277,5683,6402,6865,7480,8117,8070,8628,8791,9084,9066,9679,10337,10816,11411,12162,12799,13290,13510,14108,15090,15563,16108,17137,17998,18934,19481,20384,21303,22926,24086,25464,25686,26381,27633,28732,28330,28894,28838,29150,30382,32290
 "54001","Barbour, WV",5,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",22714,23883,27283,32957,37575,41392,54549,58353,68367,71210,81498,87325,92274,99571,83774,90629,86040,78878,69649,80240,83824,78887,80405,86697,97175,101548,92359,93681,96897,101467,108245,111094,104521,110316,119563,120680,124323,135941,141273,149163,156319,171045,181919,199273,199549,199208,189666,180709,191778,214075
 "54001","Barbour, WV",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",1703,1769,2097,2569,3421,4074,5296,5659,6498,7063,8174,9024,10504,11917,9878,11052,10575,9706,8849,10647,11437,10835,11314,12574,15174,15946,14813,15120,15441,16056,16949,16927,15372,15565,17794,17548,18259,19321,19373,19751,21010,22289,21092,22176,24842,25625,25087,25217,26990,29716
 "54001","Barbour, WV",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",803,849,989,1241,1600,1857,2425,2588,2936,3057,3633,3973,4599,5097,4279,4638,4638,4449,4244,4993,5480,5160,5474,5825,6454,6895,6698,6711,6810,6964,7361,7333,7238,7479,8427,8613,9118,10213,11124,11869,12596,13414,11843,12415,15024,15471,15140,15217,16479,18235
 "54001","Barbour, WV",5,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",900,920,1108,1328,1821,2217,2871,3071,3562,4006,4541,5051,5905,6820,5599,6414,5937,5257,4605,5654,5957,5675,5840,6749,8720,9051,8115,8409,8631,9092,9588,9594,8134,8086,9367,8935,9141,9108,8249,7882,8414,8875,9249,9761,9818,10154,9947,10000,10511,11481
 "54001","Barbour, WV",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",2282,2793,3826,3919,2628,1605,-3081,-3784,-5690,-4442,-6292,-8124,-8163,-8439,-633,997,5208,9733,16250,13477,14440,22223,23446,23434,22266,25504,31153,34061,38001,40630,44132,49470,56318,61338,65391,76129,83420,94413,98116,104107,94100,92126,94125,95199,95677,98843,99191,97759,97620,101688
 "54001","Barbour, WV",5,CAINC4,45,"...","Equals: Net earnings by place of residence","Thousands of dollars",23293,24907,29012,34307,36782,38923,46172,48910,56179,59705,67032,70177,73607,79215,73263,80574,80673,78905,77050,83070,86827,90275,92537,97557,104267,111106,108699,112622,119457,126041,135428,143637,145467,156089,167160,179261,189484,211033,220016,233519,229409,240882,254952,272296,270384,272426,263770,253251,262408,286047
 "54001","Barbour, WV",5,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",2829,3415,3909,4492,5238,6129,7497,8258,9597,11000,13022,17046,21229,24094,24663,27872,28617,29570,28751,28756,30735,31260,30988,32816,33700,34655,38237,40996,44739,44258,41575,44511,46242,44634,42323,43543,45200,46731,52025,54910,55563,54905,57319,62813,58819,59291,62413,65362,66619,71348
 "54001","Barbour, WV",5,CAINC4,47,"...","Plus: Personal current transfer receipts","Thousands of dollars",5184,6463,7885,9432,11710,13223,15483,17309,18527,20029,23389,27161,30345,32516,37151,36945,37998,41219,41559,42690,45035,48001,54161,61300,64333,65889,68521,71836,72689,74580,74543,78509,86106,94059,95174,95782,100238,107260,114209,125130,138303,142448,146444,149598,148776,156682,163222,169418,172243,176524
 "54001","Barbour, WV",5,CAINC4,50,"...","Wages and salaries","Thousands of dollars",16824,17703,20229,24200,27890,31457,42658,45190,52652,54032,61577,67220,71832,77889,62933,67400,62820,55217,48168,54999,57330,53631,53624,58974,66173,70026,63324,64506,65242,66124,69417,67356,67056,71022,79130,78596,80488,87177,94154,100855,105075,113010,118503,125171,126440,130220,126854,124116,134149,151827
 "54001","Barbour, WV",5,CAINC4,60,"...","Supplements to wages and salaries","Thousands of dollars",2779,2885,3311,3978,4675,5262,6984,7525,9322,10015,12005,13653,15458,17042,15004,15305,14423,13770,12087,12936,13983,13340,13630,15997,19593,20641,18232,19011,19954,20641,22061,21692,19556,20736,23440,24046,25208,27875,27780,28711,28758,30090,31276,35080,35636,34450,34665,33732,36267,39629
 "54001","Barbour, WV",5,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",1879,1965,2203,2650,2854,3045,4113,4454,5760,6009,7464,8602,9553,10222,9405,8891,8486,8513,7482,7282,8026,7665,7790,9248,10873,11590,10117,10602,11323,11549,12473,12098,11422,12650,14073,15111,16067,18767,19531,20829,20344,21215,22027,25319,25818,24296,24718,23732,25756,28148
 "54001","Barbour, WV",5,CAINC4,62,"..."," Employer contributions for government social insurance","Thousands of dollars",900,920,1108,1328,1821,2217,2871,3071,3562,4006,4541,5051,5905,6820,5599,6414,5937,5257,4605,5654,5957,5675,5840,6749,8720,9051,8115,8409,8631,9092,9588,9594,8134,8086,9367,8935,9141,9108,8249,7882,8414,8875,9249,9761,9818,10154,9947,10000,10511,11481
 "54001","Barbour, WV",5,CAINC4,70,"...","Proprietors' income 9/","Thousands of dollars",3111,3295,3743,4779,5010,4673,4907,5638,6393,7163,7916,6452,4984,4640,5837,7924,8797,9891,9394,12305,12511,11916,13151,11726,11409,10881,10803,10164,11701,14702,16767,22046,17909,18558,16993,18038,18627,20889,19339,19597,22486,27945,32140,39022,37473,34538,28147,22861,21362,22619
 "54001","Barbour, WV",5,CAINC4,71,"..."," Farm proprietors' income","Thousands of dollars",222,103,230,352,513,136,-185,-388,-417,-254,329,647,-742,-1127,-286,773,808,1414,247,-64,540,447,221,192,471,-45,-769,-1658,-1050,-1054,-1174,437,-237,-950,-1574,-858,-1313,-1858,-2695,-1611,-1880,-1872,-827,-1015,-801,-714,-86,-1105,-1716,-1686
 "54001","Barbour, WV",5,CAINC4,72,"..."," Nonfarm proprietors' income","Thousands of dollars",2889,3192,3513,4427,4497,4537,5092,6026,6810,7417,7587,5805,5726,5767,6123,7151,7989,8477,9147,12369,11971,11469,12930,11534,10938,10926,11572,11822,12751,15756,17941,21609,18146,19508,18567,18896,19940,22747,22034,21208,24366,29817,32967,40037,38274,35252,28233,23966,23078,24305
 "54001","Barbour, WV",5,CAINC4,7010,"...","Total employment","Number of jobs",4398,4208,4306,4612,4726,4879,5396,5560,5734,5784,5929,5954,5769,5791,5248,5313,5095,4912,4780,5033,4899,4806,4743,4889,5158,5335,5228,5263,5326,5488,5468,5411,5149,5187,5071,5077,5105,5232,5343,5362,5314,5347,5401,5518,5572,5553,5438,5336,5436,5565
 "54001","Barbour, WV",5,CAINC4,7020,"..."," Wage and salary employment","Number of jobs",3247,3128,3237,3521,3670,3836,4293,4401,4586,4644,4752,4693,4507,4529,3926,3975,3732,3508,3298,3568,3446,3336,3271,3433,3636,3813,3666,3648,3652,3638,3645,3588,3558,3636,3547,3516,3523,3622,3625,3661,3599,3684,3720,3841,3850,3863,3777,3727,3777,3886
 "54001","Barbour, WV",5,CAINC4,7040,"..."," Proprietors employment","Number of jobs",1151,1080,1069,1091,1056,1043,1103,1159,1148,1140,1177,1261,1262,1262,1322,1338,1363,1404,1482,1465,1453,1470,1472,1456,1522,1522,1562,1615,1674,1850,1823,1823,1591,1551,1524,1561,1582,1610,1718,1701,1715,1663,1681,1677,1722,1690,1661,1609,1659,1679
 "54003","Berkeley, WV",5,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",126726,134820,148849,167079,187624,208309,229837,254554,282243,322075,364255,404357,452311,486830,518485,585646,631825,682908,739951,818777,897470,952270,989603,1061799,1116306,1170327,1239979,1322597,1439947,1522954,1614544,1794760,1943391,2088039,2257526,2433556,2690866,2953793,3126320,3310837,3332644,3485184,3656258,3800496,3847235,3997658,4178482,4364933,4563104,4825605
 "54003","Berkeley, WV",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",122339,132089,146667,164837,183984,203416,228770,254700,283151,319803,362418,404072,450664,482460,516163,580671,625112,671798,731375,810513,892543,946100,980438,1051640,1111419,1166477,1234386,1318447,1436393,1520241,1611657,1793997,1942477,2088344,2255112,2430458,2688466,2949513,3121198,3306684,3328982,3481967,3653388,3789151,3843238,3993775,4175078,4361090,4559599,4822236
 "54003","Berkeley, WV",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",4387,2731,2182,2242,3640,4893,1067,-146,-908,2272,1837,285,1647,4370,2322,4975,6713,11110,8576,8264,4927,6170,9165,10159,4887,3850,5593,4150,3554,2713,2887,763,914,-305,2414,3098,2400,4280,5122,4153,3662,3217,2870,11345,3997,3883,3404,3843,3505,3369
 "54003","Berkeley, WV",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",37570,36437,37181,38572,39750,40917,41549,43008,43776,44038,45311,46995,47829,48528,49664,50337,51160,52227,53472,55546,57276,59839,61582,63010,64396,65800,67117,68667,70061,72285,74366,76357,78428,80875,84524,88258,92114,96318,99132,101629,102830,104606,105718,106950,108489,110187,111683,113476,115007,117123
 "54003","Berkeley, WV",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3373,3700,4003,4332,4720,5091,5532,5919,6447,7314,8039,8604,9457,10032,10440,11635,12350,13076,13838,14741,15669,15914,16070,16851,17335,17786,18475,19261,20553,21069,21711,23505,24779,25818,26709,27573,29212,30667,31537,32578,32409,33317,34585,35535,35462,36281,37414,38466,39677,41201
 "54003","Berkeley, WV",5,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",101597,105472,113544,128395,144470,157101,167137,182512,198213,226946,255874,277214,301175,310803,323958,365556,386010,411065,443465,489034,527051,561689,610301,675164,711828,755167,797881,829726,884638,947733,1028630,1101292,1146591,1194606,1303836,1420079,1531287,1641580,1628627,1653357,1634981,1646059,1726835,1863898,1901577,1940007,1987160,2043230,2171199,2375890
 "54003","Berkeley, WV",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",7032,7274,8005,9484,12194,13607,14455,16349,17649,20443,24366,26594,30627,32017,35403,40691,43840,48096,53327,60009,65546,71376,80160,89542,97706,104173,110377,114830,121578,129920,138786,152480,156074,158835,176191,186628,198406,205207,197978,197387,197845,198825,185583,198428,228223,237680,245158,257185,273975,294663
 "54003","Berkeley, WV",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",2974,3083,3402,3971,5061,5648,6068,6622,7041,8076,9706,10675,12514,13274,14451,16229,18170,20300,22838,25322,28298,30715,33981,37422,40153,43847,46906,48766,52195,55231,60005,63014,66008,68190,75980,82800,89132,95914,98807,101953,102063,103592,86070,91755,119272,124475,129126,135713,146683,159475
 "54003","Berkeley, WV",5,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",4058,4191,4603,5513,7133,7959,8387,9727,10608,12367,14660,15919,18113,18743,20952,24462,25670,27796,30489,34687,37248,40661,46179,52120,57553,60326,63471,66064,69383,74689,78781,89466,90066,90645,100211,103828,109274,109293,99171,95434,95782,95233,99513,106673,108951,113205,116032,121472,127292,135188
 "54003","Berkeley, WV",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",8546,8764,10995,12042,13228,15531,17642,22102,27620,33701,38651,39811,47126,53770,62219,77199,90804,107116,124324,142497,162025,164470,136847,123166,122152,133248,143622,164822,211852,211994,211512,292543,339622,388794,449102,519399,646951,724534,819114,870579,871305,952740,979136,951563,957464,1012953,1102750,1207679,1238394,1231158
 "54003","Berkeley, WV",5,CAINC4,45,"...","Equals: Net earnings by place of residence","Thousands of dollars",103111,106962,116534,130953,145504,159025,170324,188265,208184,240204,270159,290431,317674,332556,350774,402064,432974,470085,514462,571522,623530,654783,666988,708788,736274,784242,831126,879718,974912,1029807,1101356,1241355,1330139,1424565,1576747,1752850,1979832,2160907,2249763,2326549,2308441,2399974,2520388,2617033,2630818,2715280,2844752,2993724,3135618,3312385
 "54003","Berkeley, WV",5,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",12430,14558,16900,19213,22421,26252,30178,33237,37978,43172,49080,60341,73336,83509,93622,105215,112790,120995,127637,139577,157697,168055,174764,178734,191883,197806,212026,227836,240234,257045,261944,282407,298970,308159,315970,319062,333987,379698,426653,449580,437972,431294,466199,496942,494181,525528,531750,534641,557190,597240
 "54003","Berkeley, WV",5,CAINC4,47,"...","Plus: Personal current transfer receipts","Thousands of dollars",11185,13300,15415,16913,19699,23032,29335,33052,36081,38699,45016,53585,61301,70765,74089,78367,86061,91828,97852,107678,116243,129432,147851,174277,188149,188279,196827,215043,224801,236102,251244,270998,314282,355315,364809,361644,377047,413188,449904,534708,586231,653916,669671,686521,722236,756850,801980,836568,870296,915980
 "54003","Berkeley, WV",5,CAINC4,50,"...","Wages and salaries","Thousands of dollars",79017,83980,89684,100566,112430,120885,130794,142612,153712,173727,197763,216209,233344,240098,248548,274563,284951,298750,325329,352598,374988,396532,437485,482495,512773,550808,578737,604333,638212,674059,723178,766420,805801,835182,908599,970920,1040028,1119916,1154111,1205105,1188846,1168947,1215088,1288483,1319309,1356353,1387352,1432986,1524499,1678434
 "54003","Berkeley, WV",5,CAINC4,60,"...","Supplements to wages and salaries","Thousands of dollars",10109,11258,13311,15752,18160,20039,21823,24539,27458,30977,35913,40203,44559,46737,51632,58759,64119,68554,72148,80309,90529,98699,111294,126511,137690,144261,148881,152929,158571,170289,182665,201235,218655,228662,255437,270379,292802,323810,325355,333930,334380,327547,351848,383032,396313,393008,399352,404545,435657,477790
 "54003","Berkeley, WV",5,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",6051,7067,8708,10239,11027,12080,13436,14812,16850,18610,21253,24284,26446,27994,30680,34297,38449,40758,41659,45622,53281,58038,65115,74391,80137,83935,85410,86865,89188,95600,103884,111769,128589,138017,155226,166551,183528,214517,226184,238496,238598,232314,252335,276359,287362,279803,283320,283073,308365,342602
 "54003","Berkeley, WV",5,CAINC4,62,"..."," Employer contributions for government social insurance","Thousands of dollars",4058,4191,4603,5513,7133,7959,8387,9727,10608,12367,14660,15919,18113,18743,20952,24462,25670,27796,30489,34687,37248,40661,46179,52120,57553,60326,63471,66064,69383,74689,78781,89466,90066,90645,100211,103828,109274,109293,99171,95434,95782,95233,99513,106673,108951,113205,116032,121472,127292,135188
 "54003","Berkeley, WV",5,CAINC4,70,"...","Proprietors' income 9/","Thousands of dollars",12471,10234,10549,12077,13880,16177,14520,15361,17043,22242,22198,20802,23272,23968,23778,32234,36940,43761,45988,56127,61534,66458,61522,66158,61365,60098,70263,72464,87855,103385,122787,133637,122135,130762,139800,178780,198457,197854,149161,114322,111755,149565,159899,192383,185955,190646,200456,205699,211043,219666
